stationId,latitude,longitude
6031,57.1852,9.9527
6065,56.7558,9.5067
6068,56.0939,9.1811
6102,55.868,9.7872
6104,55.7379,9.1674
6108,55.4376,9.3338
6116,54.8986,9.1229
6118,54.9616,9.793
6119,54.8528,9.988
6123,55.2444,9.8882
6019,56.93,8.6412
6032,57.3828,10.3349
6041,57.7364,10.6316
6049,56.5604,10.0929
6051,56.7637,8.3207
6052,56.7068,8.215
6056,56.383,8.6705
6058,56.0072,8.1413
6070,56.3083,10.6254
6072,56.3027,10.1272
6073,56.0955,10.5135
6074,56.0803,10.1353
6079,56.7169,11.5098
6080,55.5281,8.5626
6081,55.5575,8.0828
6082,55.9591,8.6242
6088,55.4484,8.4
6093,55.2908,8.6551
6096,55.1904,8.5599
6120,55.4748,10.3304
6124,55.0144,10.5693
6126,55.3088,10.4398
6132,55.8315,10.6217
6135,55.3224,11.3879
6136,55.2465,11.3285
6138,54.8205,10.9939
6141,54.8275,11.3292
6147,54.879,12.1841
6149,54.5687,11.9435
6151,55.1593,11.1348
6154,55.2075,11.8605
6156,55.7358,11.6035
6159,55.7435,10.8694
6168,56.1193,12.3424
6169,56.0083,11.2787
6170,55.5867,12.1366
6174,55.3955,12.149
6180,55.614,12.6455
6181,55.7664,12.5263
6186,55.6861,12.5439
6187,55.6886,12.5985
6188,55.8764,12.4121
6190,55.0677,14.7494
6193,55.2979,14.7718
6197,55.0557,15.0953
